"NUTS","Country","Population","Population_density","Students_in_tertiary_education","%_early_leavers_from_education","%_of_NEET","%_of_people_studying_or_training","Students","Life_expectancy","Deaths","Discharges_after_respiratory_disease","Hospital_beds","Health_personnel","Air_passengers","Vehicles","Farm_labour_force","Utilised_agricoltural_area","Unemployement_rate","Compensation_of_employees","Hours_worked","GDP","GVA","First_wave_density","Second_wave_density","Latitude","Longitude"
"AT11","AT",294436,77.8,6750,8.15,7.775,9.3,10538,81.9,1120.95,3810,587.21,1277,6031.83333333333,254828,6170,181970,4.2,4305,203160,9272.61,107.5,0.00153853469005149,0.0389422489097801,47.2361,16.2874
"AT12","AT",1684287,88.9,33152,7.7,7,9.3,65453,81.7,1036.91,21247,671.36,7919,31635,1378944,30660,908850,4.2,28451,1179290,61706.24,108,0.00220805599045768,0.0390378836860939,48.2589,15.7601
"AT13","AT",1911191,4808.9,192471,10.6,9.9,16.5,72870,81.1,857.68,29354,751.91,13078,6031.83333333333,799636,2110,8020,10.6,48625,1662610,100347.32,108.4,0.00353078263763276,0.0424918283939177,48.2028,16.3932
"AT21","AT",561293,59.9,15527,8.15,7.9,10.1,20566,82.2,1081.98,10855,803.93,2722,210,438684,7530,220340,4.7,10099,438030,21505.55,109.3,0.00108321322375301,0.0491721792361565,46.7161,14.4629
"AT22","AT",1246395,76.6,62035,5.7,7.6,11.3,44991,82.2,1003.76,24310,801.3,6489,1035,947061,21440,375180,4.4,24503,1023160,50830.4,109.6,0.00184532190838378,0.0415205452525082,47.1818,15.5247
"AT31","AT",1490279,126.8,39671,7.5,7.5,10.6,60943,82.3,905.04,27667,676.7,6339,430,1174450,23960,517350,3.9,32123,1226600,68379.88,109.9,0.00287261646980196,0.0538536743790928,48.143,13.9503
"AT32","AT",558410,78.9,26837,9.6,8.3,10.6,20948,82.8,814.77,8895,869.23,3236,1730,383005,7050,178390,3,12733,524750,29851.8,109.6,0.00276499346358411,0.0631722211278451,47.2823,13.0002
"AT33","AT",757634,60.4,42025,7.8,6.9,11,29067,83,797.82,15505,665.33,4452,1151,504678,9470,259010,3,15832,665850,36382.23,109.1,0.00528355380038383,0.0562197578250184,47.1809,10.7635
"AT34","AT",397139,156.3,4582,8.15,7.1,10.5,16689,83.3,763.32,5044,529.42,1712,6031.83333333333,254178,2780,77780,3.6,8374,311710,19162.79,107.4,0.00265398261062248,0.0549782318029707,47.2366,9.8851
"BE10","BE",1223364,7526.7,115754,9.7,11.3,10.3,100639,81.9272727272727,711.34,16529,706.21,4760,7077.2,570077,10,0,12.3,43504.3,1083673.4,86650.96,102.8,0.00754313515846469,0.0683753976739548,50.8401,4.3569
